model_id,parameter,coef,std_err,t_value,p_value
M011,alpha[1],0.3437923859885371,4.222674079204692,0.08141579945314836,0.9351112846753913
M011,alpha[2],0.20132133757618284,77.15084824057674,0.0026094507340789007,0.9979179619099501
M011,beta[1],0.0,152.66554663219355,0.0,1.0
M011,beta[2],0.3646109741324107,61.02111750919502,0.005975160551221779,0.9952325400162867
M011,gamma[1],0.07573141939665977,2.9016640751307623,0.02609930627246952,0.9791781303896623
M011,gamma[2],-0.20132133757617074,7.548506565702297,-0.026670353377037864,0.9787226592954246
M011,omega,0.011869861527792638,1.6559727888617835,0.007167908559627523,0.9942808854007171
M012,alpha[1],0.5975568698313137,0.09838061549747912,6.073928962628064,1.2481796112688608e-09
M012,alpha[2],-0.2949039779816353,0.5780003537672436,-0.5102141824992567,0.6099014172111996
M012,beta[1],0.9024553978339356,1.1916374321352774,0.7573238079781022,0.4488558907613045
M012,beta[2],0.0,1.0390828078622838,0.0,1.0
M012,gamma[1],-0.14175653030397034,0.07589576734178184,-1.8677791301008573,0.06179286360177737
M012,gamma[2],0.2086053683582433,0.07071420606377642,2.9499782288456196,0.003177963224379487
M012,omega,-0.28531793306018527,0.4310617851559486,-0.6618956791935605,0.5080380810967482
M013,Const,0.023809252502144353,0.019521655746528338,1.219632843201761,0.22260409018776317
M013,Inflation_lag_1,0.4417097228765101,0.047182983279594866,9.361631931135975,7.851448146827577e-21
M013,SPF,0.551898895785083,0.07609339663620136,7.252914447014152,4.078977512429335e-13
M013,alpha[1],0.26838745132749725,0.07874883746283981,3.408144932350837,0.0006540614513721194
M013,beta[1],0.6277507231995622,0.08236840915939149,7.621255886887397,2.5121936943322082e-14
M013,omega,0.006972430107142331,0.002564438415473763,2.7188916158293552,0.0065501067067623145
M014,Const,0.027746616712497334,0.01909549087582488,1.4530454803665132,0.14621112682227191
M014,Inflation_lag_1,0.4376393350891286,0.04654226532203187,9.403051872551673,5.300294054535309e-21
M014,SPF,0.5541602814147748,0.0737052296594853,7.518601922481882,5.536507612839116e-14
M014,alpha[1],0.31489049916547035,0.08153061300265149,3.862236374393869,0.00011235377837189949
M014,beta[1],0.6335401593149207,0.07801876629186677,8.120356030046137,4.648180729851511e-16
M014,gamma[1],-0.09945347514267076,0.08385289234980611,-1.1860470444809972,0.23560372155698306
M014,omega,0.006781739368124809,0.0023327240440863153,2.9072188737099807,0.003646579508875723
M015,Const,0.02721480101874285,0.0013764141836795966,19.772246858128824,5.162483575184161e-87
M015,Inflation_lag_1,0.44981242179792735,0.017769768372765834,25.313353126612242,2.2770867056250803e-141
M015,SPF,0.557300965587945,0.023322436899817743,23.895486049843278,3.4122444932808863e-126
M015,alpha[1],0.45051295382643286,0.12862545673869238,3.5025178160623947,0.0004608829599062866
M015,beta[1],0.8412073213319161,0.07777894436297005,10.815360483761058,2.911457936552453e-27
M015,gamma[1],0.01937189187749455,0.048413683313602074,0.40013257723053514,0.6890588708982043
M015,omega,-0.4592698061486949,0.2314702906166975,-1.9841414849615464,0.04724006954797275
M016,Const,0.023797096569982534,0.01955121241541882,1.2171673072926799,0.2235405661637455
M016,Inflation_lag_1,0.44167228789200574,0.047205552059556205,9.3563631526812,8.252855519508214e-21
M016,SPF,0.5520654171511622,0.07678990811243265,7.18929649378992,6.512601112754144e-13
M016,alpha[1],0.2691423209864091,0.08183732071958728,3.2887479528883388,0.0010063409921745943
M016,beta[1],0.6211634954271962,0.19316325990137695,3.215743489441743,0.001301070693522532
M016,beta[2],0.005340765049659979,0.14003584696574742,0.03813855641524647,0.9695772100859278
M016,omega,0.006996872615099563,0.0026656323887571044,2.6248452879738498,0.008668834693429005
M017,Const,0.027726834234294295,0.019149039609660093,1.44794907731597,0.14763129268679423
M017,Inflation_lag_1,0.4375667604429481,0.0465483901541537,9.400255497426741,5.4430736353141465e-21
M017,SPF,0.5544006753413961,0.07433309268548899,7.458329195142234,8.762651697092036e-14
M017,alpha[1],0.31605758325354233,0.08331059474202422,3.793726166908684,0.00014840333205329667
M017,beta[1],0.6255516986740226,0.18841381998566434,3.3200945595265696,0.0008998696261069875
M017,beta[2],0.0064387633034453775,0.13409030242153075,0.04801811307132611,0.9617018071140726
M017,gamma[1],-0.09988099218982864,0.08260432212782295,-1.2091497105353828,0.22660533408585337
M017,omega,0.006812330279213873,0.0024655601076113893,2.7629950120395126,0.00572736416990336
M018,Const,0.02627256614508903,0.018865823283332868,1.3926010940799862,0.1637404519958432
M018,Inflation_lag_1,0.4440012236233304,0.043507965731514046,10.205055928453298,1.8821268858596403e-24
M018,SPF,0.5695176720363401,0.07468504437818149,7.625591934477301,2.4291711763575507e-14
M018,alpha[1],0.46358814767477813,0.11677576441387641,3.9699003470594296,7.190269811635984e-05
M018,beta[1],0.747002883841154,0.1765890741787091,4.230176115455382,2.3350842528666434e-05
M018,beta[2],0.09541721345840116,0.17478163784692693,0.5459224128679191,0.5851192711764382
